Model,Variant,Pruning Amount,Inference Time (s),Avg Single Image Time (s),Accuracy (%),Model Size (MB),MACs
resnet50,resnet50_original.pth,original,0.104,0.103714,100.0,97.695,86342632
resnet50,resnet50_pruned_0.52.pth,0.52,0.211,0.211045,100.0,25.616,20656606
resnet50,resnet50_pruned_0.56.pth,0.56,0.117,0.116834,100.0,21.569,17837810
resnet50,resnet50_pruned_0.6.pth,0.6,0.122,0.121977,100.0,17.905,15286649
resnet50,resnet50_pruned_0.64.pth,0.64,0.119,0.118964,100.0,14.490,12799522
resnet50,resnet50_pruned_0.72.pth,0.72,0.133,0.132616,100.0,8.783,8457871
